,tags,volume
0,virusshare084,1000
1,yara:ispe32,996
2,yara:iswindowsgui,991
3,yara:hasrichsignature,686
4,runnable:win32:dll,614
5,yara:isdll,614
6,yara:suspicious_packer_section,613
7,yara:win_files_operation,544
8,yara:str_win32_winsock2_library,532
9,yara:str_win32_wininet_library,508
10,yara:hasoverlay,490
11,yara:seh_init,485
12,yara:str_win32_internet_api,469
13,yara:win_registry,453
14,yara:microsoft_visual_cpp_v50v60_mfc,448
15,runnable:win32:exe,382
16,yara:ispacked,370
17,yara:win_hook,369
18,yara:upxv200v290markusoberhumerlaszlomolnarjohnreiser,329
19,yara:screenshot,329
20,yara:upx,327
21,yara:str_win32_http_api,269
22,yara:win_private_profile,234
23,yara:hasmodified_dos_message,221
24,yara:seh_save,221
25,yara:microsoft_visual_cpp_v60_dll,215
26,yara:microsoft_visual_cpp_v70_dll,215
27,yara:microsoft_visual_cpp_60_dll_debug,215
28,yara:microsoft_visual_cpp_60,215
29,yara:armadillov1xxv2xx,215
30,yara:armadillo_v1xx_v2xx_additional,215
31,yara:armadillo_v1xx_v2xx,215
32,yara:win_token,214
33,yara:escalate_priv,210
34,yara:yodas_protector_v1033_dllocx_ashkbiz_danehkar_h,203
35,yara:network_http,201
36,yara:keylogger,191
37,yara:microsoft_visual_cpp_60_dll_additional,178
38,yara:microsoft_visual_cpp_60_dll,178
39,yara:win_mutex,175
40,yara:network_tcp_socket,172
41,yara:maldoc_geteip_method_1,146
42,yara:borland,135
43,yara:borland_delphi_dll,128
44,yara:delphi_copy,126
45,yara:network_dns,118
46,yara:delphi_comparecall,117
47,yara:md5_constants,115
48,yara:anti_dbg,115
49,yara:upxv20markuslaszloreiser,114
50,yara:base64_table,111
51,yara:inject_thread,106
52,yara:acprotect_13x_14x_dll_risco_software_inc,105
53,yara:upackv037dwing,90
54,yara:maskpev20yzkzero,82
55,yara:upack_036_beta_dwing,79
56,yara:borland_delphi_30_additional,76
57,yara:borland_delphi_30_,76
58,yara:borland_delphi_v30,76
59,yara:borland_delphi_v40_v50,76
60,yara:upack_patch_or_any_version_dwing,74
61,yara:upack_patch_or_any_version_sign_by_hot_unp,74
62,yara:upack_patchoranyversiondwing,74
63,yara:upack_036_beta_dwing_additional,74
64,yara:debuggerhiding__thread,74
65,yara:upack_v028_039_relocated_image_base_delphi_net_dll_or_something_else_dwing_h,74
66,yara:upack_v028_039_relocated_image_base_delphi_net_dll_or_something_else_dwing,74
67,yara:upack_028_0399_relocated_image_base_delphi_net_dll_or_something_else_dwing_h,74
68,yara:winupackv039finalrelocatedimagebasebydwingc2005h2,74
69,yara:upack_v028_0399_relocated_image_base_delphi_net_dll_or_something_else_img_srcimagessmiliessmilegif_,74
